title,price,engine,transmission,drivetrain,mileage,location
Certified 2018 BMW X4 XDRIVE28I,"$19,990 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"4,745 miles","Edison,NJ(25mi)"
Used 2014 JEEP WRANGLER UNLIMITED SPORT,"$33,991 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"28,073 miles","LittleFalls,NJ(50mi)"
Used 2011 TOYOTA RAV4 SPORT,"$33,991 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"78,655 miles","Newton,NJ(43mi)"
Used 2003 TOYOTA HIGHLANDER,"$18,900 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"138,237 miles","JerseyCity,NJ(1mi)"
Used 2017 FORD ESCAPE TITANIUM,"$18,900 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"3,001 miles","Somerville,NJ(32mi)"
Certified 2016 HYUNDAI TUCSON SE,"$32,995 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainFWD,"33,339 miles","Bloomfield,NJ(9mi)"
Used 2015 ACURA RDX TECHNOLOGY,"$32,995 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"47,950 miles","Edison,NJ(25mi)"
Certified 2015 BMW X5 XDRIVE35I,"$50,999 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"45,320 miles","Morristown,NJ(23mi)"
Certified 2016 MAZDA CX-3 TOURING,"$19,974 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"17,446 miles","EastBrunswick,NJ(28mi)"
Used 2015 BMW X5 XDRIVE35I,"$19,974 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"26,613 miles","Newton,NJ(43mi)"
Used 2015 JEEP GRAND CHEROKEE LIMITED EDITION,"$37,595 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"34,796 miles","LittleFalls,NJ(50mi)"
Used 2016 NISSAN ROGUE,"$37,595 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"18,620 miles","Wall,NJ(37mi)"
Used 2015 BMW X5 XDRIVE35I,"$28,991 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"51,201 miles","Newton,NJ(43mi)"
Certified 2015 BMW X1 XDRIVE35I,"$28,991 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"38,165 miles","Morristown,NJ(23mi)"
