title,price,engine,transmission,drivetrain,mileage,location
Used 2016 MAZDA CX-5 TOURING,"$27,495 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"28,394 miles","Bridgewater,NJ(32mi)"
Used 2015 LAND ROVER RANGE ROVER SPORT HSE,"$27,495 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"26,577 miles","Parsippany,NJ(19mi)"
Used 2016 KIA SPORTAGE LX,"$23,000 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainFWD,"37,530 miles","HamiltonSquare,NJ(49mi)"
Certified 2016 ACURA MDX TECHNOLOGY,"$23,000 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"53,325 miles","Wayne,NJ(14mi)"
Certified 2016 ACURA RDX,"$23,994 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"26,212 miles","Wayne,NJ(14mi)"
Certified 2015 VOLKSWAGEN TIGUAN S,"$23,994 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"18,610 miles","Bridgewater,NJ(32mi)"
Used 2011 NISSAN ROGUE S,"$21,483 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"37,604 miles","HamiltonSquare,NJ(49mi)"
Used 2012 MERCEDES-BENZ M-CLASS ML 350 4MATIC,"$21,483 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"76,517 miles","Morristown,NJ(22mi)"
Used 2014 MAZDA CX-9 GRAND TOURING,"$58,900 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"31,992 miles","Newton,NJ(43mi)"
Used 2015 JEEP GRAND CHEROKEE ALTITUDE,"$31,900 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"38,312 miles","Wayne,NJ(17mi)"
Used 2013 NISSAN ROGUE SV,"$31,900 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"66,980 miles","HamiltonSquare,NJ(49mi)"
Used 2011 HONDA CR-V SE,"$12,933 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"66,999 miles","HamiltonSquare,NJ(49mi)"
Certified 2015 HONDA CR-V LX,"$12,933 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"44,903 miles","Hamilton,NJ(50mi)"
Certified 2014 BMW X5 XDRIVE35I,"$13,993 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"29,481 miles","Kenvil,NJ(33mi)"
Used 2010 ACURA MDX TECHNOLOGY,"$13,993 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"82,813 miles","EastBrunswick,NJ(29mi)"
Used 2014 NISSAN ROGUE S,"$18,398 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainFWD,"33,220 miles","LittleFalls,NJ(50mi)"
Used 2016 NISSAN ROGUE S,"$18,398 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"7,029 miles","HamiltonSquare,NJ(49mi)"
Used 2011 ACURA MDX TECHNOLOGY,"$42,987 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"99,000 miles","JerseyCity,NJ(2mi)"
Used 2014 KIA SPORTAGE LX,"$42,987 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainFWD,"36,072 miles","HamiltonSquare,NJ(49mi)"
Used 2015 MERCEDES-BENZ GL-CLASS GL 350 4MATIC,"$18,296 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"29,833 miles","MountainLakes,NJ(24mi)"
Used 2014 ACURA MDX TECHNOLOGY,"$18,296 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"72,485 miles","Wayne,NJ(14mi)"
Certified 2017 LAND ROVER DISCOVERY SPORT HSE,"$13,991 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"2,431 miles","Parsippany,NJ(18mi)"
Used 2016 BMW X6 M,"$13,991 ",Engine8 Cyl,TransmissionAutomatic,DrivetrainAWD,"7,118 miles","Wayne,NJ(18mi)"
Certified 2014 HONDA CR-V EXL,"$16,633 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"35,613 miles","Hamilton,NJ(50mi)"
Used 2013 LEXUS LX 570,"$39,995 ",Engine8 Cyl,TransmissionAutomatic,Drivetrain4WD,"114,170 miles","MountainLakes,NJ(24mi)"
Used 2013 MERCEDES-BENZ M-CLASS ML 350 4MATIC,"$39,995 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"77,277 miles","Linden,NJ(14mi)"
Used 2011 BMW X5 XDRIVE35I PREMIUM,"$26,990 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"73,701 miles","MountainLakes,NJ(24mi)"
Used 2018 BMW X4 M40I,"$26,990 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"6,202 miles","Kenvil,NJ(33mi)"
Certified 2015 BMW X5 XDRIVE35D,"$16,999 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"27,846 miles","Morristown,NJ(23mi)"
Used 2014 DODGE DURANGO R/T,"$16,999 ",Engine8 Cyl,TransmissionAutomatic,DrivetrainAWD,"33,889 miles","LittleFalls,NJ(50mi)"
Used 2014 MINI COOPER COUNTRYMAN JOHN COOPER WORKS,"$58,987 ",Engine4 Cyl,TransmissionManual,DrivetrainAWD,"33,870 miles","Wall,NJ(37mi)"
Used 2008 BMW X3 3.0SI,"$58,987 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"98,652 miles","EastBrunswick,NJ(28mi)"
Used 2012 FORD EXPLORER XLT,"$46,136 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"95,949 miles","Somerville,NJ(32mi)"
Used 2013 AUDI Q5 PREMIUM PLUS,"$46,136 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"69,579 miles","Morristown,NJ(22mi)"
Used 2014 JEEP WRANGLER UNLIMITED SPORT,"$33,991 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"26,811 miles","Springfield,NJ(15mi)"
Certified 2015 LEXUS NX 200T,"$33,991 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"30,416 miles","Englewood,NJ(11mi)"
Certified 2017 BMW X1 XDRIVE28I,"$25,995 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"8,740 miles","Wayne,NJ(18mi)"
Used 2017 NISSAN ROGUE SV,"$25,995 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"1,002 miles","Totowa,NJ(15mi)"
Used 2013 MINI COOPER COUNTRYMAN S,"$9,474 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"55,015 miles","Newton,NJ(43mi)"
Used 2015 FORD ESCAPE TITANIUM,"$18,661 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"50,948 miles","Totowa,NJ(15mi)"
Used 2015 JEEP PATRIOT LATITUDE,"$18,661 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"12,242 miles","LittleFalls,NJ(50mi)"
Used 2015 GMC YUKON DENALI,"$16,991 ",Engine8 Cyl,TransmissionAutomatic,Drivetrain4WD,"47,573 miles","Bridgewater,NJ(32mi)"
Used 2017 FORD EXPLORER LIMITED EDITION,"$16,991 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"39,232 miles","Totowa,NJ(15mi)"
Used 2015 AUDI Q5 PREMIUM PLUS,"$45,495 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"40,554 miles","Parsippany,NJ(18mi)"
Used 2014 NISSAN JUKE NISMO,"$45,495 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainFWD,"19,555 miles","Edison,NJ(25mi)"
Used 2010 LAND ROVER RANGE ROVER HSE,"$32,495 ",Engine8 Cyl,TransmissionAutomatic,Drivetrain4WD,"55,565 miles","Totowa,NJ(15mi)"
Used 2010 FORD FLEX LIMITED,"$32,495 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"155,911 miles","JerseyCity,NJ(2mi)"
Used 2015 FORD ESCAPE SE,"$29,500 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"64,234 miles","Newton,NJ(43mi)"
Used 2015 JEEP GRAND CHEROKEE LAREDO,"$29,500 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"30,755 miles","Verona,NJ(12mi)"
Used 2014 NISSAN PATHFINDER HYBRID SV,"$13,995 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"41,260 miles","Totowa,NJ(15mi)"
Used 2015 TOYOTA HIGHLANDER XLE,"$13,995 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"25,869 miles","Springfield,NJ(15mi)"
Used 2012 JEEP WRANGLER SAHARA,"$24,495 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"36,774 miles","Parsippany,NJ(19mi)"
Used 2014 NISSAN PATHFINDER SV,"$24,495 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"42,613 miles","Totowa,NJ(15mi)"
Used 2017 JEEP RENEGADE LIMITED,"$8,995 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"14,812 miles","Springfield,NJ(15mi)"
Used 2015 JEEP CHEROKEE LIMITED EDITION,"$20,990 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"28,027 miles","Parsippany,NJ(23mi)"
Used 2014 NISSAN PATHFINDER SL,"$20,990 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"50,606 miles","Totowa,NJ(15mi)"
Used 2016 JEEP RENEGADE LATITUDE,"$19,995 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainFWD,"18,328 miles","Edison,NJ(25mi)"
Used 2017 HONDA CR-V EXL,"$19,995 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainFWD,"7,980 miles","Mendham,NJ(29mi)"
Used 2014 TOYOTA HIGHLANDER LE,"$16,995 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"143,521 miles","Edison,NJ(25mi)"
Certified 2014 CHEVROLET TAHOE LT,"$16,995 ",Engine8 Cyl,TransmissionAutomatic,Drivetrain4WD,"68,299 miles","Nazareth,PA(67mi)"
Used 2006 HONDA ELEMENT EX-P,"$28,776 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"144,394 miles","Parsippany,NJ(23mi)"
Used 2017 BMW X3 SDRIVE28I,"$28,776 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainRWD,"6,090 miles","Newton,NJ(43mi)"
Used 2015 TOYOTA HIGHLANDER XLE,"$19,980 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"25,140 miles","Verona,NJ(12mi)"
Used 2015 TOYOTA RAV4 LIMITED EDITION,"$19,980 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"22,682 miles","Passaic,NJ(8mi)"
Used 2015 TOYOTA RAV4 LIMITED EDITION,"$32,655 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"32,490 miles","Totowa,NJ(15mi)"
Used 2017 BMW X3 XDRIVE28I,"$32,655 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"2,584 miles","Wayne,NJ(18mi)"
Used 2015 DODGE JOURNEY SXT,"$7,999 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"40,074 miles","LittleFalls,NJ(50mi)"
Used 2017 HYUNDAI SANTA FE SPORT,"$7,999 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"6,877 miles","Edison,NJ(25mi)"
Used 2017 MERCEDES-BENZ GLS 450 4MATIC,"$36,888 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"1,590 miles","Wall,NJ(37mi)"
Used 2010 JEEP GRAND CHEROKEE LAREDO,"$13,082 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"83,920 miles","Mendham,NJ(29mi)"
Used 2017 JEEP CHEROKEE LATITUDE,"$13,082 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"13,372 miles","LittleFalls,NJ(50mi)"
Used 2015 GMC YUKON SLT,"$24,991 ",Engine8 Cyl,TransmissionAutomatic,Drivetrain4WD,"89,933 miles","Wall,NJ(37mi)"
Used 2014 TOYOTA RAV4 LE,"$24,991 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"21,676 miles","Springfield,NJ(15mi)"
Used 2017 NISSAN ROGUE SV,"$33,995 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"16,785 miles","Totowa,NJ(15mi)"
Used 2014 JEEP GRAND CHEROKEE LIMITED EDITION,"$33,995 ",Engine8 Cyl,TransmissionAutomatic,Drivetrain4WD,"60,430 miles","Bloomfield,NJ(9mi)"
Certified 2017 ACURA MDX TECHNOLOGY,"$19,992 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"4,197 miles","Wayne,NJ(14mi)"
Certified 2015 ACURA MDX TECHNOLOGY,"$19,992 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"30,885 miles","Verona,NJ(12mi)"
Certified 2016 ACURA RDX,"$25,495 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"32,665 miles","EastBrunswick,NJ(29mi)"
Used 2014 VOLKSWAGEN TIGUAN S,"$25,495 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"20,137 miles","Bloomfield,NJ(9mi)"
Used 2009 MERCEDES-BENZ M-CLASS ML 350 4MATIC,"$22,880 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"131,183 miles","MountainLakes,NJ(24mi)"
Used 2015 SUBARU FORESTER 2.5I PREMIUM,"$22,880 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"33,050 miles","Parsippany,NJ(23mi)"
Used 2013 DODGE DURANGO CITADEL,"$44,660 ",Engine8 Cyl,TransmissionAutomatic,DrivetrainAWD,"38,847 miles","HamiltonSquare,NJ(49mi)"
Used 2016 TOYOTA HIGHLANDER LE,"$44,660 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"15,128 miles","Springfield,NJ(15mi)"
Used 2016 FORD EDGE TITANIUM,"$34,500 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"48,149 miles","Edison,NJ(25mi)"
Used 2014 JEEP PATRIOT LATITUDE,"$16,197 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"25,242 miles","Bath,PA(71mi)"
Used 2014 HONDA CR-V EX,"$16,197 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"33,450 miles","Edison,NJ(25mi)"
Used 2017 DODGE JOURNEY CROSSROAD,"$15,995 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"11,157 miles","LittleFalls,NJ(50mi)"
Used 2014 JEEP GRAND CHEROKEE LAREDO,"$15,995 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"29,614 miles","Totowa,NJ(15mi)"
Certified 2017 BMW X6 XDRIVE50I,"$21,991 ",Engine8 Cyl,TransmissionAutomatic,DrivetrainAWD,"6,209 miles","Wayne,NJ(18mi)"
Used 2012 MERCEDES-BENZ R-CLASS R 350 4MATIC,"$21,991 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"72,212 miles","Linden,NJ(14mi)"
Certified 2014 HONDA CR-V LX,"$25,495 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"36,821 miles","NorthPlainfield,NJ(21mi)"
Used 2012 JEEP GRAND CHEROKEE OVERLAND,"$25,495 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"80,691 miles","Somerville,NJ(32mi)"
Used 2008 HUMMER H3 H3X,"$69,888 ",Engine5 Cyl,TransmissionManual,Drivetrain4WD,"97,989 miles","Bloomfield,NJ(9mi)"
Used 2016 MAZDA CX-5 TOURING,"$69,888 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"16,249 miles","EastBrunswick,NJ(28mi)"
Used 2015 JEEP WRANGLER SPORT,"$17,990 ",Engine6 Cyl,TransmissionManual,Drivetrain4WD,"30,000 miles","Edison,NJ(21mi)"
Certified 2016 HONDA CR-V LX,"$17,990 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"16,766 miles","WestCaldwell,NJ(16mi)"
Used 2014 HONDA CR-V EXL,"$15,588 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"48,403 miles","Springfield,NJ(15mi)"
Certified 2017 DODGE DURANGO GT,"$15,588 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"12,521 miles","Somerville,NJ(32mi)"
Used 2017 MERCEDES-BENZ GLE 350 4MATIC,"$19,988 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"9,405 miles","Bridgewater,NJ(31mi)"
Used 2008 TOYOTA 4RUNNER SR5,"$11,995 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"128,101 miles","Wall,NJ(37mi)"
Certified 2015 BMW X3 XDRIVE28I,"$11,995 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"17,247 miles","Edison,NJ(25mi)"
Used 2016 ACURA MDX,"$31,988 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"39,705 miles","Wayne,NJ(14mi)"
Used 2017 CADILLAC ESCALADE LUXURY,"$31,988 ",Engine8 Cyl,TransmissionAutomatic,Drivetrain4WD,"8,818 miles","Verona,NJ(12mi)"
Certified 2015 ACURA MDX ADVANCE ENTERTAINMENT,"$33,970 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"43,571 miles","EastBrunswick,NJ(29mi)"
Used 2013 CHEVROLET TRAVERSE LT LT2,"$33,970 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"64,431 miles","Springfield,NJ(15mi)"
Used 2016 NISSAN PATHFINDER PLATINUM,"$69,900 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"25,373 miles","Totowa,NJ(15mi)"
Used 2015 SUBARU FORESTER 2.5I PREMIUM,"$69,900 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"34,725 miles","Parsippany,NJ(23mi)"
Used 2014 LAND ROVER RANGE ROVER EVOQUE PURE,"$36,580 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"24,274 miles","Parsippany,NJ(18mi)"
Certified 2015 CHEVROLET TRAVERSE LT LT2,"$36,580 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"31,127 miles","Nazareth,PA(67mi)"
Used 2012 CHEVROLET TAHOE LTZ,"$20,992 ",Engine8 Cyl,TransmissionAutomatic,Drivetrain4WD,"74,169 miles","Bridgewater,NJ(31mi)"
Used 2014 JEEP GRAND CHEROKEE SRT,"$20,992 ",Engine8 Cyl,TransmissionAutomatic,Drivetrain4WD,"54,503 miles","Verona,NJ(12mi)"
Used 2014 NISSAN JUKE NISMO RS,"$29,095 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"48,793 miles","LittleFalls,NJ(50mi)"
Used 2015 JEEP GRAND CHEROKEE LIMITED EDITION,"$29,095 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"36,300 miles","Randolph,NJ(31mi)"
Used 2015 NISSAN ROGUE SELECT S,"$18,999 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"26,413 miles","Totowa,NJ(15mi)"
Certified 2015 MERCEDES-BENZ GLA 250 4MATIC,"$30,750 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"40,977 miles","Bridgewater,NJ(31mi)"
Used 2014 TOYOTA RAV4 LE,"$30,750 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"40,813 miles","Edison,NJ(25mi)"
Used 2014 GMC TERRAIN DENALI,"$16,995 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"36,907 miles","Wall,NJ(37mi)"
Used 2014 MERCEDES-BENZ GL-CLASS GL 550 4MATIC,"$16,995 ",Engine8 Cyl,TransmissionAutomatic,DrivetrainAWD,"48,185 miles","LittleFalls,NJ(50mi)"
Used 2015 FORD EXPLORER SPORT,"$23,995 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"40,218 miles","Edison,NJ(25mi)"
Certified 2015 ACURA RDX TECHNOLOGY,"$23,995 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"45,525 miles","EastBrunswick,NJ(29mi)"
Used 2015 TOYOTA HIGHLANDER LE PLUS,"$51,991 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"32,982 miles","Springfield,NJ(15mi)"
Certified 2014 MAZDA CX-5 GRAND TOURING,"$51,991 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"56,874 miles","Wayne,NJ(17mi)"
Used 2011 JEEP LIBERTY SPORT,"$26,995 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"60,727 miles","LittleFalls,NJ(50mi)"
Used 2017 NISSAN JUKE SV,"$26,995 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainFWD,"7,307 miles","HamiltonSquare,NJ(49mi)"
Used 2013 BMW X6 XDRIVE35I,"$27,580 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"73,997 miles","Morristown,NJ(22mi)"
Certified 2015 ACURA RDX,"$27,580 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"32,853 miles","EastBrunswick,NJ(29mi)"
Certified 2014 BMW X3 XDRIVE28I,"$27,992 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"47,707 miles","Edison,NJ(25mi)"
Used 2016 VOLVO XC90 T6 MOMENTUM,"$27,992 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"11,515 miles","Wall,NJ(37mi)"
Used 2015 TOYOTA RAV4 LIMITED EDITION,"$17,900 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"47,634 miles","Springfield,NJ(15mi)"
Used 2017 CHEVROLET TRAX LT,"$17,551 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"15,882 miles","Totowa,NJ(15mi)"
Used 2016 NISSAN ROGUE S,"$17,551 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"31,002 miles","SouthAmboy,NJ(24mi)"
Used 2016 SUBARU FORESTER 2.5I,"$16,888 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"10,590 miles","Parsippany,NJ(23mi)"
Used 2015 KIA SORENTO LIMITED,"$16,888 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"12,477 miles","Edison,NJ(25mi)"
Used 2012 NISSAN XTERRA PRO-4X,"$18,999 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"72,462 miles","Wall,NJ(37mi)"
Used 2012 NISSAN ROGUE S,"$18,999 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"53,922 miles","Wall,NJ(37mi)"
Used 2008 MERCURY MARINER,"$25,995 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"106,626 miles","JerseyCity,NJ(2mi)"
Used 2014 MERCEDES-BENZ G-CLASS AMG G 63 4MATIC,"$25,995 ",Engine8 Cyl,TransmissionAutomatic,DrivetrainAWD,"45,001 miles","Verona,NJ(12mi)"
Certified 2014 ACURA MDX,"$17,995 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"36,109 miles","Verona,NJ(12mi)"
Used 2014 JEEP CHEROKEE LATITUDE,"$17,995 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"29,889 miles","Totowa,NJ(15mi)"
Used 2015 BMW X4 XDRIVE35I,"$10,995 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"22,913 miles","Parsippany,NJ(19mi)"
Used 2015 JEEP WRANGLER UNLIMITED SPORT,"$10,995 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"17,900 miles","Newton,NJ(43mi)"
Used 2012 BMW X6 XDRIVE50I,"$7,995 ",Engine8 Cyl,TransmissionAutomatic,DrivetrainAWD,"53,390 miles","Edison,NJ(25mi)"
Used 2011 TOYOTA RAV4 SPORT,"$7,995 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"26,016 miles","Springfield,NJ(15mi)"
Used 2007 HONDA ELEMENT EX,"$99,000 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"154,186 miles","MountainLakes,NJ(24mi)"
Used 2011 JEEP GRAND CHEROKEE LAREDO,"$19,488 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"51,981 miles","Somerville,NJ(32mi)"
Used 2010 TOYOTA HIGHLANDER BASE,"$19,488 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"112,005 miles","MountainLakes,NJ(24mi)"
Used 2015 HONDA PILOT EXL,"$10,995 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"42,360 miles","EastBrunswick,NJ(29mi)"
Used 2014 SUBARU XV CROSSTREK PREMIUM,"$10,995 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"34,370 miles","Bloomfield,NJ(9mi)"
Used 2014 JEEP CHEROKEE TRAILHAWK,"$26,890 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"42,385 miles","EastBrunswick,NJ(28mi)"
Certified 2015 LEXUS RX 350,"$26,890 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"26,116 miles","Englewood,NJ(11mi)"
Certified 2014 BMW X5 XDRIVE50I,"$18,880 ",Engine8 Cyl,TransmissionAutomatic,DrivetrainAWD,"48,424 miles","Morristown,NJ(23mi)"
Used 2015 NISSAN ROGUE SV,"$18,880 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"24,445 miles","Bloomfield,NJ(9mi)"
Used 2015 NISSAN ARMADA PLATINUM EDITION,"$21,574 ",Engine8 Cyl,TransmissionAutomatic,Drivetrain4WD,"17,164 miles","Totowa,NJ(15mi)"
Used 2015 JEEP COMPASS LATITUDE,"$21,574 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"31,321 miles","LittleFalls,NJ(50mi)"
Used 2011 HONDA PILOT LX,"$33,998 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"125,501 miles","NorthPlainfield,NJ(21mi)"
Used 2010 SUBARU FORESTER 2.5X,"$33,998 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"128,457 miles","JerseyCity,NJ(1mi)"
Used 2015 JEEP CHEROKEE LATITUDE,"$41,888 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"89,979 miles","Springfield,NJ(15mi)"
Used 2013 FORD FLEX SEL,"$41,888 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"67,086 miles","Somerville,NJ(32mi)"
Used 2014 JEEP GRAND CHEROKEE LIMITED EDITION,"$24,985 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"102,681 miles","MountainLakes,NJ(24mi)"
Used 2011 HYUNDAI SANTA FE GLS,"$10,980 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"79,436 miles","Bloomfield,NJ(9mi)"
Used 2014 JEEP PATRIOT LATITUDE,"$10,980 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"26,693 miles","Totowa,NJ(15mi)"
Used 2017 BUICK ENCLAVE LEATHER GROUP,"$14,995 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"22,667 miles","Linden,NJ(14mi)"
Used 2013 TOYOTA RAV4 XLE,"$14,995 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"31,760 miles","Verona,NJ(12mi)"
